target_id,p_joint,p_1d,p_2d,disagreement_1d,disagreement_2d
4262581,0.19086842,0.0011956892,0.9999997,0.18967274,0.80913126
11709124,0.11094185,1.212474e-08,1.0,0.110941835,0.8890582
9022166,0.14504203,2.5280503e-11,1.0,0.14504203,0.85495794
8934103,0.083273865,1.527051e-14,0.9999948,0.083273865,0.9167209
6587105,0.102081366,6.452045e-26,1.0,0.102081366,0.89791864
8233702,0.13146971,7.287624e-11,1.0,0.13146971,0.8685303
8753896,0.1474728,5.2545307e-10,1.0,0.1474728,0.8525272
5956342,0.1440731,3.542309e-10,1.0,0.1440731,0.8559269
9710326,0.10224651,2.44064e-10,1.0,0.10224651,0.8977535
4813563,0.16273056,0.0017610202,0.99931556,0.16096954,0.836585
8168187,0.16957366,0.57259816,0.99999976,0.4030245,0.8304261
4254466,0.12193173,0.027799038,1.0,0.09413269,0.87806827
5456651,0.14934246,3.3535894e-08,0.9999999,0.14934243,0.8506574
6152974,0.07360929,1.9161324e-11,1.0,0.07360929,0.9263907
9589524,0.11366184,2.8999365e-09,0.9988302,0.11366184,0.8851684
8611832,0.1624339,0.044099316,1.0,0.11833459,0.8375661
8037145,0.124210395,3.763231e-10,0.9978576,0.124210395,0.87364715
6849310,0.18642458,0.9098209,1.0,0.7233963,0.8135754
7510820,0.14092311,3.217358e-14,0.99999934,0.14092311,0.85907626
3531558,0.18292385,9.112958e-12,1.0,0.18292385,0.81707615
3234598,0.15242824,1.8344531e-08,0.99999774,0.15242822,0.84756947
4139816,0.17887083,1.9676575e-11,0.99715954,0.17887083,0.8182887
8950568,0.10051178,3.436565e-11,0.99573344,0.10051178,0.89522165
6263593,0.08820699,0.00032836947,1.0,0.08787862,0.911793
8676148,0.1286885,3.4632505e-13,1.0,0.1286885,0.8713115
4770617,0.18116756,0.9756517,1.0,0.79448414,0.81883246
9347899,0.20096447,1.5535465e-11,0.9982702,0.20096447,0.79730576
11709244,0.12023822,3.642017e-15,0.99993634,0.12023822,0.8796981
8751933,0.14321792,2.172898e-08,0.99999964,0.1432179,0.8567817
4455231,0.05750506,1.2362243e-17,1.0,0.05750506,0.9424949
6265665,0.078702874,4.2106865e-07,1.0,0.07870245,0.92129713
9775938,0.056402046,5.308052e-09,1.0,0.056402043,0.943598
8047428,0.20371194,0.000119191674,1.0,0.20359275,0.7962881
