kepid,kepoi_name,koi_disposition
10214162,K01724.01,CONFIRMED
10905746,K01725.01,CONFIRMED
8242434,K01726.01,CONFIRMED
6185331,K01727.01,CONFIRMED
9636135,K01498.01,CONFIRMED
9636135,K01498.02,CONFIRMED
7841925,K01499.01,CONFIRMED
7841925,K01499.03,CONFIRMED
5219234,K01563.01,CONFIRMED
5219234,K01563.02,CONFIRMED
5219234,K01563.03,CONFIRMED
5219234,K01563.04,CONFIRMED
9015738,K01616.01,CONFIRMED
7215603,K01618.01,CONFIRMED
5561278,K01621.01,CONFIRMED
6387542,K01626.01,CONFIRMED
6869184,K01732.01,CONFIRMED
6604328,K01736.01,CONFIRMED
7439316,K01501.01,CONFIRMED
12400538,K01503.01,CONFIRMED
5184584,K01564.01,CONFIRMED
5438099,K01567.01,CONFIRMED
5438099,K01567.02,CONFIRMED
6543893,K01627.01,CONFIRMED
6543893,K01627.02,CONFIRMED
6975129,K01628.01,CONFIRMED
11391018,K00189.01,CONFIRMED
8685497,K01629.01,CONFIRMED
4365645,K01738.01,CONFIRMED
8197343,K01746.01,CONFIRMED
6786348,K01749.01,CONFIRMED
6209677,K01750.01,CONFIRMED
9813499,K01505.01,CONFIRMED
12254792,K01506.01,CONFIRMED
12020218,K01507.01,CONFIRMED
7690844,K01508.01,CONFIRMED
5438099,K01567.03,CONFIRMED
5438099,K01567.04,CONFIRMED
8009350,K01569.01,CONFIRMED
8082001,K01570.01,CONFIRMED
9277896,K01632.01,CONFIRMED
9401997,K01633.01,CONFIRMED
10686864,K01637.01,CONFIRMED
9631995,K00022.01,CONFIRMED
7901948,K01511.01,CONFIRMED
6442377,K00176.01,CONFIRMED
10004519,K01572.01,CONFIRMED
5031857,K01573.01,CONFIRMED
10879038,K01641.01,CONFIRMED
10990917,K01643.01,CONFIRMED
11046025,K01646.01,CONFIRMED
9729691,K01751.01,CONFIRMED
9729691,K01751.02,CONFIRMED
10904857,K00194.01,CONFIRMED
8651389,K01754.01,CONFIRMED
7871954,K01515.01,CONFIRMED
7871954,K01515.02,CONFIRMED
12418724,K01516.01,CONFIRMED
7456001,K01517.01,CONFIRMED
10028792,K01574.01,CONFIRMED
10028792,K01574.02,CONFIRMED
5299459,K01576.01,CONFIRMED
11153121,K01647.01,CONFIRMED
11153121,K01647.02,CONFIRMED
11177543,K01648.01,CONFIRMED
11337141,K01649.01,CONFIRMED
3967760,K01760.01,CONFIRMED
3967760,K01760.02,CONFIRMED
7549209,K01518.01,CONFIRMED
7663405,K01519.01,CONFIRMED
9765975,K01520.01,CONFIRMED
9818462,K01521.01,CONFIRMED
6803202,K00177.01,CONFIRMED
5299459,K01576.02,CONFIRMED
9651668,K00183.01,CONFIRMED
12506770,K01577.01,CONFIRMED
11337372,K01650.01,CONFIRMED
11337833,K01651.01,CONFIRMED
11547505,K01655.01,CONFIRMED
11502867,K00195.01,CONFIRMED
9909735,K01779.01,CONFIRMED
9909735,K01779.02,CONFIRMED
11551692,K01781.01,CONFIRMED
11551692,K01781.02,CONFIRMED
12266636,K01522.01,CONFIRMED
7869917,K01525.01,CONFIRMED
9824805,K01526.01,CONFIRMED
7939330,K01581.01,CONFIRMED
7939330,K01581.02,CONFIRMED
12602568,K01583.01,CONFIRMED
9941066,K01584.01,CONFIRMED
5972334,K00191.01,CONFIRMED
4650733,K01659.01,CONFIRMED
7831264,K00171.02,CONFIRMED
7691260,K01528.01,CONFIRMED
9821454,K01529.01,CONFIRMED
9821454,K01529.02,CONFIRMED
11954842,K01530.01,CONFIRMED
5470739,K01585.01,CONFIRMED
10022908,K01586.01,CONFIRMED
5617854,K01588.01,CONFIRMED
4932442,K01665.01,CONFIRMED
5183357,K01669.01,CONFIRMED
5269467,K01672.01,CONFIRMED
11764462,K01531.01,CONFIRMED
11656246,K01532.01,CONFIRMED
7808587,K01533.01,CONFIRMED
4741126,K01534.01,CONFIRMED
5301750,K01589.01,CONFIRMED
5301750,K01589.02,CONFIRMED
5301750,K01589.03,CONFIRMED
5301750,K01589.04,CONFIRMED
5301750,K01589.05,CONFIRMED
5526717,K01677.01,CONFIRMED
5972334,K00191.02,CONFIRMED
6034945,K01683.01,CONFIRMED
8692861,K00172.01,CONFIRMED
9480310,K01470.01,CONFIRMED
4741126,K01534.02,CONFIRMED
11669125,K01535.01,CONFIRMED
12159249,K01536.01,CONFIRMED
5542466,K01590.02,CONFIRMED
10028140,K01591.01,CONFIRMED
6049190,K01685.01,CONFIRMED
6198999,K01687.01,CONFIRMED
6310636,K01688.01,CONFIRMED
6616218,K01692.01,CONFIRMED
7761545,K01472.01,CONFIRMED
12365184,K01474.01,CONFIRMED
4770365,K01475.01,CONFIRMED
4770365,K01475.02,CONFIRMED
4770365,K01475.03,CONFIRMED
10748390,K00003.01,CONFIRMED
11804465,K00020.01,CONFIRMED
9663113,K00179.01,CONFIRMED
5289854,K01593.01,CONFIRMED
5289854,K01593.02,CONFIRMED
10006581,K01595.01,CONFIRMED
6616218,K01692.02,CONFIRMED
7220429,K01700.01,CONFIRMED
12406749,K01476.01,CONFIRMED
8692861,K00172.02,CONFIRMED
12403119,K01478.01,CONFIRMED
10027323,K01596.01,CONFIRMED
10027323,K01596.02,CONFIRMED
12019440,K00186.01,CONFIRMED
10004738,K01598.01,CONFIRMED
